"","anio","jurisdicion_nombre","edad_madre","semana_gestacion","sexo","nacimientos_cantidad","educacion"
"19472",2019,"Neuquén","25 a 29","37 a 41","femenino",10,"Primaria/C. EGB Completa"
"19473",2019,"Neuquén","25 a 29","37 a 41","femenino",34,"Primaria/C. EGB Completa"
"19474",2019,"Neuquén","25 a 29","37 a 41","femenino",37,"Primaria/C. EGB Completa"
"19475",2019,"Neuquén","25 a 29","42 y más","femenino",1,"Primaria/C. EGB Completa"
"19476",2019,"Neuquén","25 a 29","Sin especif","femenino",1,"Primaria/C. EGB Completa"
"19477",2019,"Neuquén","25 a 29","37 a 41","femenino",121,"Secundaria/Polimodal Incompleta"
"19478",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","20 a 24","37 a 41","femenino",34,"Secundaria/Polimodal Completa"
"19479",2019,"Santa Cruz","15 a 19","42 y más","femenino",1,"Secundaria/Polimodal Completa"
"19480",2019,"Misiones","20 a 24","32 a 36","femenino",2,"Primaria/C. EGB Incompleta"
"19481",2019,"Neuquén","25 a 29","37 a 41","femenino",95,"Terciaria/Universitaria Completa"
"19482",2019,"Neuquén","30 a 34","37 a 41","femenino",1,"Sin instrucción"
"19483",2019,"Neuquén","30 a 34","32 a 36","femenino",1,"Primaria/C. EGB Incompleta"
"19484",2019,"Neuquén","30 a 34","24 a 27","femenino",1,"Primaria/C. EGB Completa"
"19485",2019,"Jujuy","20 a 24","37 a 41","femenino",8,"Secundaria/Polimodal Incompleta"
"19486",2019,"Santa Cruz","20 a 24","37 a 41","femenino",58,"Secundaria/Polimodal Completa"
"19487",2019,"Tucumán","25 a 29","32 a 36","femenino",13,"Terciaria/Universitaria Incompleta"
"19488",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","30 a 34","32 a 36","femenino",1,"Terciaria/Universitaria Incompleta"
"19489",2019,"Neuquén","30 a 34","Sin especif","femenino",1,"Terciaria/Universitaria Completa"
"19490",2019,"Neuquén","35 a 39","37 a 41","femenino",1,"Sin instrucción"
"19491",2019,"Neuquén","35 a 39","37 a 41","femenino",1,"Sin instrucción"
