"";"X.U.FEFF.Fecha";"Periodo";"Mes";"Hab";"Medida";"valor";"Relacion";"Nivel";"Latitud";"Longitud"
"42";"12/4/2020 00:00";2020;"abril";75260;"Fallecidos_acumulados";0;"0.00000";"Municipal";"-22,51637";"-63,80131"
"43";"13/4/2020 00:00";2020;"abril";1406584;"Casos_acumulados";0;"0.00000";"Provincial";"-24,7859";"-65,41166"
"44";"13/4/2020 00:00";2020;"abril";1406584;"Fallecidos_acumulados";0;"0.00000";"Provincial";"-24,7859";"-65,41166"
"45";"13/4/2020 00:00";2020;"abril";182495;"Casos_acumulados";0;"0.00000";"Departamental";"-22,5988808";"-63,8168297"
"46";"13/4/2020 00:00";2020;"abril";182495;"Fallecidos_acumulados";0;"0.00000";"Departamental";"-22,5988808";"-63,8168297"
"47";"13/4/2020 00:00";2020;"abril";75260;"Casos_acumulados";0;"0.00000";"Municipal";"-22,51637";"-63,80131"
"48";"13/4/2020 00:00";2020;"abril";75260;"Fallecidos_acumulados";0;"0.00000";"Municipal";"-22,51637";"-63,80131"
"49";"14/4/2020 00:00";2020;"abril";1406584;"Casos_acumulados";0;"0.00000";"Provincial";"-24,7859";"-65,41166"
"50";"14/4/2020 00:00";2020;"abril";1406584;"Fallecidos_acumulados";0;"0.00000";"Provincial";"-24,7859";"-65,41166"
"51";"14/4/2020 00:00";2020;"abril";182495;"Casos_acumulados";0;"0.00000";"Departamental";"-22,5988808";"-63,8168297"
"52";"14/4/2020 00:00";2020;"abril";182495;"Fallecidos_acumulados";0;"0.00000";"Departamental";"-22,5988808";"-63,8168297"
"53";"14/4/2020 00:00";2020;"abril";75260;"Casos_acumulados";0;"0.00000";"Municipal";"-22,51637";"-63,80131"
"54";"14/4/2020 00:00";2020;"abril";75260;"Fallecidos_acumulados";0;"0.00000";"Municipal";"-22,51637";"-63,80131"
"55";"15/4/2020 00:00";2020;"abril";1406584;"Casos_acumulados";0;"0.00000";"Provincial";"-24,7859";"-65,41166"
"56";"15/4/2020 00:00";2020;"abril";1406584;"Fallecidos_acumulados";0;"0.00000";"Provincial";"-24,7859";"-65,41166"
"57";"15/4/2020 00:00";2020;"abril";182495;"Casos_acumulados";0;"0.00000";"Departamental";"-22,5988808";"-63,8168297"
"58";"15/4/2020 00:00";2020;"abril";182495;"Fallecidos_acumulados";0;"0.00000";"Departamental";"-22,5988808";"-63,8168297"
"59";"15/4/2020 00:00";2020;"abril";75260;"Casos_acumulados";0;"0.00000";"Municipal";"-22,51637";"-63,80131"
"60";"15/4/2020 00:00";2020;"abril";75260;"Fallecidos_acumulados";0;"0.00000";"Municipal";"-22,51637";"-63,80131"
"61";"16/4/2020 00:00";2020;"abril";1406584;"Casos_acumulados";0;"0.00000";"Provincial";"-24,7859";"-65,41166"
